IncomeCategory,Date,HighestInfected
Middle Class Income,04-11-2021,76597365
Lower middle income,04-11-2021,62963807
Low income,04-11-2021,1568656
High income,03-11-2021,107863792
Middle Class Income,03-11-2021,76454850
Lower middle income,03-11-2021,62889762
Low income,03-11-2021,1568022
High income,02-11-2021,107559274
Middle Class Income,02-11-2021,76309753
Lower middle income,02-11-2021,62815788
Low income,02-11-2021,1566880
High income,01-11-2021,107347163
Middle Class Income,01-11-2021,76181888
Lower middle income,01-11-2021,62752490
Low income,01-11-2021,1565875
High income,31-10-2021,107066359
Middle Class Income,31-10-2021,76059761
Lower middle income,31-10-2021,62699055
Low income,31-10-2021,1564665
High income,30-10-2021,106913798
Middle Class Income,30-10-2021,75944809
Lower middle income,30-10-2021,62618320
Low income,30-10-2021,1564180
High income,29-10-2021,106735945
Middle Class Income,29-10-2021,75818181
Lower middle income,29-10-2021,62549351
Low income,29-10-2021,1563246
High income,28-10-2021,106457816
Middle Class Income,28-10-2021,75681382
Lower middle income,28-10-2021,62471254
Low income,28-10-2021,1562153
High income,27-10-2021,106200213
Middle Class Income,27-10-2021,75532768
Lower middle income,27-10-2021,62395540
Low income,27-10-2021,1561196
High income,26-10-2021,105909297
Middle Class Income,26-10-2021,75388243
Lower middle income,26-10-2021,62318124
Low income,26-10-2021,1560054
High income,25-10-2021,105687355
Middle Class Income,25-10-2021,75251748
Lower middle income,25-10-2021,62251340
Low income,25-10-2021,1559006
High income,24-10-2021,105418150
Middle Class Income,24-10-2021,75126379
Lower middle income,24-10-2021,62195476
Low income,24-10-2021,1557093
High income,23-10-2021,105288461
Middle Class Income,23-10-2021,75014137
Lower middle income,23-10-2021,62128983
Low income,23-10-2021,1556387
High income,22-10-2021,105122927
Middle Class Income,22-10-2021,74882125
Lower middle income,22-10-2021,62057565
Low income,22-10-2021,1555212
High income,21-10-2021,104858585
Middle Class Income,21-10-2021,74734855
Lower middle income,21-10-2021,61977763
Low income,21-10-2021,1553864
High income,20-10-2021,104614767
Middle Class Income,20-10-2021,74593069
Lower middle income,20-10-2021,61902905
Low income,20-10-2021,1552398
High income,19-10-2021,104358439
Middle Class Income,19-10-2021,74449660
Lower middle income,19-10-2021,61827877
Low income,19-10-2021,1550891
High income,18-10-2021,104140063
Middle Class Income,18-10-2021,74308968
Lower middle income,18-10-2021,61756568
Low income,18-10-2021,1549798
High income,17-10-2021,103901533
Middle Class Income,17-10-2021,74179899
Lower middle income,17-10-2021,61697924
Low income,17-10-2021,1548315
High income,16-10-2021,103769586
Middle Class Income,16-10-2021,74061629
Lower middle income,16-10-2021,61636095
Low income,16-10-2021,1547143
High income,15-10-2021,103618494
Middle Class Income,15-10-2021,73934683
Lower middle income,15-10-2021,61574050
Low income,15-10-2021,1545975
High income,14-10-2021,103374774
Middle Class Income,14-10-2021,73794057
Lower middle income,14-10-2021,61501931
Low income,14-10-2021,1544440
High income,13-10-2021,103151872
Middle Class Income,13-10-2021,73647112
Lower middle income,13-10-2021,61420324
Low income,13-10-2021,1542636
High income,12-10-2021,102916323
Middle Class Income,12-10-2021,73511400
Lower middle income,12-10-2021,61337237
Low income,12-10-2021,1540591
High income,11-10-2021,102685435
Middle Class Income,11-10-2021,73380017
Lower middle income,11-10-2021,61263105
Low income,11-10-2021,1538906
High income,10-10-2021,102480774
Middle Class Income,10-10-2021,73262630
Lower middle income,10-10-2021,61198706
Low income,10-10-2021,1537451
High income,09-10-2021,102358724
Middle Class Income,09-10-2021,73142210
Lower middle income,09-10-2021,61126266
Low income,09-10-2021,1535990
High income,08-10-2021,102219658
Middle Class Income,08-10-2021,73017151
Lower middle income,08-10-2021,61051640
Low income,08-10-2021,1534640
High income,07-10-2021,101972835
Middle Class Income,07-10-2021,72874026
Lower middle income,07-10-2021,60968160
Low income,07-10-2021,1532662
High income,06-10-2021,101747683
Middle Class Income,06-10-2021,72723071
Lower middle income,06-10-2021,60884694
Low income,06-10-2021,1530569
High income,05-10-2021,101506926
Middle Class Income,05-10-2021,72579245
Lower middle income,05-10-2021,60765512
Low income,05-10-2021,1527232
High income,04-10-2021,101306749
Middle Class Income,04-10-2021,72437770
Lower middle income,04-10-2021,60686805
Low income,04-10-2021,1524863
High income,03-10-2021,101055849
Middle Class Income,03-10-2021,72313459
Lower middle income,03-10-2021,60616417
Low income,03-10-2021,1523424
High income,02-10-2021,100937615
Middle Class Income,02-10-2021,72200478
Lower middle income,02-10-2021,60540515
Low income,02-10-2021,1521538
High income,01-10-2021,100804150
Middle Class Income,01-10-2021,72070990
Lower middle income,01-10-2021,60454767
Low income,01-10-2021,1519675
High income,30-09-2021,100537965
Middle Class Income,30-09-2021,71924383
Lower middle income,30-09-2021,60348159
Low income,30-09-2021,1517069
High income,29-09-2021,100310346
Middle Class Income,29-09-2021,71767745
Lower middle income,29-09-2021,60245244
Low income,29-09-2021,1514445
High income,28-09-2021,100073572
Middle Class Income,28-09-2021,71619428
Lower middle income,28-09-2021,60141504
Low income,28-09-2021,1512245
High income,27-09-2021,99855099
Middle Class Income,27-09-2021,71473619
Lower middle income,27-09-2021,60057818
Low income,27-09-2021,1509359
High income,26-09-2021,99587104
Middle Class Income,26-09-2021,71347687
Lower middle income,26-09-2021,59971051
Low income,26-09-2021,1507322
High income,25-09-2021,99455935
Middle Class Income,25-09-2021,71219702
Lower middle income,25-09-2021,59876228
Low income,25-09-2021,1505546
High income,24-09-2021,99312105
Middle Class Income,24-09-2021,71092390
Lower middle income,24-09-2021,59775733
Low income,24-09-2021,1503290
High income,23-09-2021,99031314
Middle Class Income,23-09-2021,70938301
Lower middle income,23-09-2021,59664371
Low income,23-09-2021,1500263
High income,22-09-2021,98787674
Middle Class Income,22-09-2021,70773344
Lower middle income,22-09-2021,59528468
Low income,22-09-2021,1497213
High income,21-09-2021,98545474
Middle Class Income,21-09-2021,70601866
Lower middle income,21-09-2021,59411851
Low income,21-09-2021,1492479
High income,20-09-2021,98323789
Middle Class Income,20-09-2021,70446360
Lower middle income,20-09-2021,59303298
Low income,20-09-2021,1489636
High income,19-09-2021,98039701
Middle Class Income,19-09-2021,70303818
Lower middle income,19-09-2021,59201862
Low income,19-09-2021,1487504
High income,18-09-2021,97918895
Middle Class Income,18-09-2021,70166867
Lower middle income,18-09-2021,59097982
Low income,18-09-2021,1485795
High income,17-09-2021,97755702
Middle Class Income,17-09-2021,69921713
Lower middle income,17-09-2021,58985222
Low income,17-09-2021,1483141
High income,16-09-2021,97436247
Middle Class Income,16-09-2021,69747175
Lower middle income,16-09-2021,58859452
Low income,16-09-2021,1479650
High income,15-09-2021,97158617
Middle Class Income,15-09-2021,69559905
Lower middle income,15-09-2021,58740045
Low income,15-09-2021,1476685
High income,14-09-2021,96879854
Middle Class Income,14-09-2021,69395416
Lower middle income,14-09-2021,58619747
Low income,14-09-2021,1473221
High income,13-09-2021,96621883
Middle Class Income,13-09-2021,69230321
Lower middle income,13-09-2021,58496287
Low income,13-09-2021,1470028
High income,12-09-2021,96291506
Middle Class Income,12-09-2021,69095830
Lower middle income,12-09-2021,58385483
Low income,12-09-2021,1467798
High income,11-09-2021,96160460
Middle Class Income,11-09-2021,68969634
Lower middle income,11-09-2021,58273216
Low income,11-09-2021,1465997
High income,10-09-2021,95980281
Middle Class Income,10-09-2021,68803175
Lower middle income,10-09-2021,58153455
Low income,10-09-2021,1464062
High income,09-09-2021,95612280
Middle Class Income,09-09-2021,68642275
Lower middle income,09-09-2021,58027983
Low income,09-09-2021,1459642
High income,08-09-2021,95308083
Middle Class Income,08-09-2021,68456920
Lower middle income,08-09-2021,57881013
Low income,08-09-2021,1456105
High income,07-09-2021,94986525
Middle Class Income,07-09-2021,68288424
Lower middle income,07-09-2021,57736369
Low income,07-09-2021,1453030
High income,06-09-2021,94642581
Middle Class Income,06-09-2021,68122953
Lower middle income,06-09-2021,57592994
Low income,06-09-2021,1449432
High income,05-09-2021,94436059
Middle Class Income,05-09-2021,67983714
Lower middle income,05-09-2021,57463531
Low income,05-09-2021,1447004
High income,04-09-2021,94277591
Middle Class Income,04-09-2021,67840271
Lower middle income,04-09-2021,57321418
Low income,04-09-2021,1444182
High income,03-09-2021,94084025
Middle Class Income,03-09-2021,67675834
Lower middle income,03-09-2021,57185696
Low income,03-09-2021,1441361
High income,02-09-2021,93704814
Middle Class Income,02-09-2021,67491880
Lower middle income,02-09-2021,57029014
Low income,02-09-2021,1437564
High income,01-09-2021,93376550
Middle Class Income,01-09-2021,67294632
Lower middle income,01-09-2021,56881546
Low income,01-09-2021,1433981
High income,31-08-2021,93015883
Middle Class Income,31-08-2021,67104324
Lower middle income,31-08-2021,56717428
Low income,31-08-2021,1429819
High income,30-08-2021,92724575
Middle Class Income,30-08-2021,66924984
Lower middle income,30-08-2021,56570563
Low income,30-08-2021,1426832
High income,29-08-2021,92358455
Middle Class Income,29-08-2021,66771936
Lower middle income,29-08-2021,56420755
Low income,29-08-2021,1424002
High income,28-08-2021,92205786
Middle Class Income,28-08-2021,66628599
Lower middle income,28-08-2021,56272843
Low income,28-08-2021,1421189
High income,27-08-2021,91990357
Middle Class Income,27-08-2021,66445388
Lower middle income,27-08-2021,56118455
Low income,27-08-2021,1417057
High income,26-08-2021,91616555
Middle Class Income,26-08-2021,66245651
Lower middle income,26-08-2021,55945347
Low income,26-08-2021,1412612
High income,25-08-2021,91275304
Middle Class Income,25-08-2021,66028457
Lower middle income,25-08-2021,55771760
Low income,25-08-2021,1408300
High income,24-08-2021,90938142
Middle Class Income,24-08-2021,65814371
Lower middle income,24-08-2021,55590504
Low income,24-08-2021,1403398
High income,23-08-2021,90634284
Middle Class Income,23-08-2021,65607683
Lower middle income,23-08-2021,55428221
Low income,23-08-2021,1399545
High income,22-08-2021,90279514
Middle Class Income,22-08-2021,65442542
Lower middle income,22-08-2021,55287903
Low income,22-08-2021,1375721
High income,21-08-2021,90130347
Middle Class Income,21-08-2021,65284137
Lower middle income,21-08-2021,55150570
Low income,21-08-2021,1372645
High income,20-08-2021,89916090
Middle Class Income,20-08-2021,65084237
Lower middle income,20-08-2021,55008928
Low income,20-08-2021,1369539
High income,19-08-2021,89520438
Middle Class Income,19-08-2021,64860680
Lower middle income,19-08-2021,54847137
Low income,19-08-2021,1365236
High income,18-08-2021,89206422
Middle Class Income,18-08-2021,64625375
Lower middle income,18-08-2021,54688324
Low income,18-08-2021,1361816
High income,17-08-2021,88882956
Middle Class Income,17-08-2021,64385706
Lower middle income,17-08-2021,54520090
Low income,17-08-2021,1357509
High income,16-08-2021,88594591
Middle Class Income,16-08-2021,64170195
Lower middle income,16-08-2021,54345452
Low income,16-08-2021,1353492
High income,15-08-2021,88259977
Middle Class Income,15-08-2021,63988474
Lower middle income,15-08-2021,54200427
Low income,15-08-2021,1350555
High income,14-08-2021,88115748
Middle Class Income,14-08-2021,63821937
Lower middle income,14-08-2021,54047864
Low income,14-08-2021,1347297
High income,13-08-2021,87930860
Middle Class Income,13-08-2021,63619993
Lower middle income,13-08-2021,53885396
Low income,13-08-2021,1343811
High income,12-08-2021,87553091
Middle Class Income,12-08-2021,63386345
Lower middle income,12-08-2021,53699461
Low income,12-08-2021,1339280
High income,11-08-2021,87257715
Middle Class Income,11-08-2021,63151213
Lower middle income,11-08-2021,53528803
Low income,11-08-2021,1334819
High income,10-08-2021,86955257
Middle Class Income,10-08-2021,62925595
Lower middle income,10-08-2021,53331490
Low income,10-08-2021,1329481
High income,09-08-2021,86715125
Middle Class Income,09-08-2021,62708465
Lower middle income,09-08-2021,53152497
Low income,09-08-2021,1320150
High income,08-08-2021,86426209
Middle Class Income,08-08-2021,62532721
Lower middle income,08-08-2021,53001808
Low income,08-08-2021,1316445
High income,07-08-2021,86299271
Middle Class Income,07-08-2021,62364538
Lower middle income,07-08-2021,52832673
Low income,07-08-2021,1313067
High income,06-08-2021,86131112
Middle Class Income,06-08-2021,62143975
Lower middle income,06-08-2021,52665480
Low income,06-08-2021,1307826
High income,05-08-2021,85739474
Middle Class Income,05-08-2021,61905841
Lower middle income,05-08-2021,52481844
Low income,05-08-2021,1301857
High income,04-08-2021,85492437
Middle Class Income,04-08-2021,61663179
Lower middle income,04-08-2021,52291636
Low income,04-08-2021,1296256
High income,03-08-2021,85253002
Middle Class Income,03-08-2021,61424369
Lower middle income,03-08-2021,52094535
Low income,03-08-2021,1291120
High income,02-08-2021,85038244
Middle Class Income,02-08-2021,61203876
Lower middle income,02-08-2021,51901657
Low income,02-08-2021,1285139
High income,01-08-2021,84799862
Middle Class Income,01-08-2021,61024929
Lower middle income,01-08-2021,51752589
Low income,01-08-2021,1280478
High income,31-07-2021,84673314
Middle Class Income,31-07-2021,60843604
Lower middle income,31-07-2021,51581566
Low income,31-07-2021,1276421
High income,30-07-2021,84532137
Middle Class Income,30-07-2021,60639112
Lower middle income,30-07-2021,51416274
Low income,30-07-2021,1270229
High income,29-07-2021,84213620
Middle Class Income,29-07-2021,60415096
Lower middle income,29-07-2021,51233706
Low income,29-07-2021,1263067
High income,28-07-2021,84007982
Middle Class Income,28-07-2021,60182969
Lower middle income,28-07-2021,51034862
Low income,28-07-2021,1256929
High income,27-07-2021,83802307
Middle Class Income,27-07-2021,59942997
Lower middle income,27-07-2021,50837220
Low income,27-07-2021,1250282
High income,26-07-2021,83615565
Middle Class Income,26-07-2021,59724997
Lower middle income,26-07-2021,50641528
Low income,26-07-2021,1244572
High income,25-07-2021,83402907
Middle Class Income,25-07-2021,59554919
Lower middle income,25-07-2021,50490810
Low income,25-07-2021,1237545
High income,24-07-2021,83293242
Middle Class Income,24-07-2021,59384519
Lower middle income,24-07-2021,50329926
Low income,24-07-2021,1233058
High income,23-07-2021,83169813
Middle Class Income,23-07-2021,59246032
Lower middle income,23-07-2021,50165071
Low income,23-07-2021,1228145
High income,22-07-2021,82921098
Middle Class Income,22-07-2021,58931880
Lower middle income,22-07-2021,50005534
Low income,22-07-2021,1222618
High income,21-07-2021,82725905
Middle Class Income,21-07-2021,58719895
Lower middle income,21-07-2021,49854733
Low income,21-07-2021,1215672
High income,20-07-2021,82539248
Middle Class Income,20-07-2021,58512583
Lower middle income,20-07-2021,49698296
Low income,20-07-2021,1210259
High income,19-07-2021,82365695
Middle Class Income,19-07-2021,58325919
Lower middle income,19-07-2021,49532662
Low income,19-07-2021,1203981
High income,18-07-2021,82172840
Middle Class Income,18-07-2021,58176900
Lower middle income,18-07-2021,49390608
Low income,18-07-2021,1198664
High income,17-07-2021,82058737
Middle Class Income,17-07-2021,58034918
Lower middle income,17-07-2021,49234465
Low income,17-07-2021,1191132
High income,16-07-2021,81939547
Middle Class Income,16-07-2021,57836170
Lower middle income,16-07-2021,49071937
Low income,16-07-2021,1182972
High income,15-07-2021,81724203
Middle Class Income,15-07-2021,57634690
Lower middle income,15-07-2021,48899707
Low income,15-07-2021,1176374
High income,14-07-2021,81559400
Middle Class Income,14-07-2021,57408212
Lower middle income,14-07-2021,48721966
Low income,14-07-2021,1169178
High income,13-07-2021,81413160
Middle Class Income,13-07-2021,57200174
Lower middle income,13-07-2021,48545615
Low income,13-07-2021,1162030
High income,12-07-2021,81258944
Middle Class Income,12-07-2021,56997377
Lower middle income,12-07-2021,48384163
Low income,12-07-2021,1154993
High income,11-07-2021,81124496
Middle Class Income,11-07-2021,56845543
Lower middle income,11-07-2021,48242215
Low income,11-07-2021,1149196
High income,10-07-2021,81045047
Middle Class Income,10-07-2021,56697656
Lower middle income,10-07-2021,48104406
Low income,10-07-2021,1144615
High income,09-07-2021,80965057
Middle Class Income,09-07-2021,56503206
Lower middle income,09-07-2021,47965816
Low income,09-07-2021,1136732
High income,08-07-2021,80818356
Middle Class Income,08-07-2021,56292923
Lower middle income,08-07-2021,47816961
Low income,08-07-2021,1129464
High income,07-07-2021,80706783
Middle Class Income,07-07-2021,56085330
Lower middle income,07-07-2021,47661449
Low income,07-07-2021,1122381
High income,06-07-2021,80599405
Middle Class Income,06-07-2021,55881258
Lower middle income,06-07-2021,47513778
Low income,06-07-2021,1116326
High income,05-07-2021,80501510
Middle Class Income,05-07-2021,55673338
Lower middle income,05-07-2021,47376451
Low income,05-07-2021,1109018
High income,04-07-2021,80406734
Middle Class Income,04-07-2021,55514002
Lower middle income,04-07-2021,47258105
Low income,04-07-2021,1103610
High income,03-07-2021,80351516
Middle Class Income,03-07-2021,55366647
Lower middle income,03-07-2021,47139286
Low income,03-07-2021,1097347
High income,02-07-2021,80296076
Middle Class Income,02-07-2021,55174535
Lower middle income,02-07-2021,47019988
Low income,02-07-2021,1090457
High income,01-07-2021,80199732
Middle Class Income,01-07-2021,54962987
Lower middle income,01-07-2021,46894261
Low income,01-07-2021,1081783
High income,30-06-2021,80115315
Middle Class Income,30-06-2021,54748026
Lower middle income,30-06-2021,46766632
Low income,30-06-2021,1073307
High income,29-06-2021,80039479
Middle Class Income,29-06-2021,54554755
Lower middle income,29-06-2021,46643478
Low income,29-06-2021,1066135
High income,28-06-2021,79976085
Middle Class Income,28-06-2021,54359056
Lower middle income,28-06-2021,46527715
Low income,28-06-2021,1059812
High income,27-06-2021,79907487
Middle Class Income,27-06-2021,54202419
Lower middle income,27-06-2021,46425289
Low income,27-06-2021,1054474
High income,26-06-2021,79861759
Middle Class Income,26-06-2021,54051152
Lower middle income,26-06-2021,46317548
Low income,26-06-2021,1048004
High income,25-06-2021,79810165
Middle Class Income,25-06-2021,53859246
Lower middle income,25-06-2021,46205976
Low income,25-06-2021,1040199
High income,24-06-2021,79739006
Middle Class Income,24-06-2021,53634712
Lower middle income,24-06-2021,46092255
Low income,24-06-2021,1031958
High income,23-06-2021,79676465
Middle Class Income,23-06-2021,53415382
Lower middle income,23-06-2021,45973872
Low income,23-06-2021,1022980
High income,22-06-2021,79616072
Middle Class Income,22-06-2021,53199503
Lower middle income,22-06-2021,45862255
Low income,22-06-2021,1014250
High income,21-06-2021,79560055
Middle Class Income,21-06-2021,52958851
Lower middle income,21-06-2021,45756329
Low income,21-06-2021,1006638
High income,20-06-2021,79508672
Middle Class Income,20-06-2021,52813851
Lower middle income,20-06-2021,45662479
Low income,20-06-2021,1000220
High income,19-06-2021,79465352
Middle Class Income,19-06-2021,52660351
Lower middle income,19-06-2021,45560509
Low income,19-06-2021,994254
High income,18-06-2021,79419426
Middle Class Income,18-06-2021,52475040
Lower middle income,18-06-2021,45451181
Low income,18-06-2021,987529
High income,17-06-2021,79354100
Middle Class Income,17-06-2021,52258935
Lower middle income,17-06-2021,45337367
Low income,17-06-2021,979273
High income,16-06-2021,79295547
Middle Class Income,16-06-2021,52047770
Lower middle income,16-06-2021,45221038
Low income,16-06-2021,969331
High income,15-06-2021,79238820
Middle Class Income,15-06-2021,51839314
Lower middle income,15-06-2021,45102515
Low income,15-06-2021,963876
High income,14-06-2021,79185235
Middle Class Income,14-06-2021,51634853
Lower middle income,14-06-2021,44992672
Low income,14-06-2021,957010
High income,13-06-2021,79131220
Middle Class Income,13-06-2021,51490013
Lower middle income,13-06-2021,44887668
Low income,13-06-2021,951579
High income,12-06-2021,79085167
Middle Class Income,12-06-2021,51353579
Lower middle income,12-06-2021,44772568
Low income,12-06-2021,946370
High income,11-06-2021,79033514
Middle Class Income,11-06-2021,51171912
Lower middle income,11-06-2021,44643673
Low income,11-06-2021,940212
High income,10-06-2021,78954521
Middle Class Income,10-06-2021,50965412
Lower middle income,10-06-2021,44513770
Low income,10-06-2021,933568
High income,09-06-2021,78878182
Middle Class Income,09-06-2021,50744499
Lower middle income,09-06-2021,44364135
Low income,09-06-2021,926958
High income,08-06-2021,78804179
Middle Class Income,08-06-2021,50544160
Lower middle income,08-06-2021,44225693
Low income,08-06-2021,921448
High income,07-06-2021,78738277
Middle Class Income,07-06-2021,50384138
Lower middle income,07-06-2021,44085725
Low income,07-06-2021,917234
High income,06-06-2021,78677647
Middle Class Income,06-06-2021,50248419
Lower middle income,06-06-2021,43964427
Low income,06-06-2021,913114
High income,05-06-2021,78624382
Middle Class Income,05-06-2021,50121188
Lower middle income,05-06-2021,43825941
Low income,05-06-2021,909117
High income,04-06-2021,78557298
Middle Class Income,04-06-2021,49952253
Lower middle income,04-06-2021,43669281
Low income,04-06-2021,905146
High income,03-06-2021,78478574
Middle Class Income,03-06-2021,49781108
Lower middle income,03-06-2021,43499239
Low income,03-06-2021,900142
High income,02-06-2021,78380549
Middle Class Income,02-06-2021,49584360
Lower middle income,02-06-2021,43317448
Low income,02-06-2021,896197
High income,01-06-2021,78307169
Middle Class Income,01-06-2021,49356542
Lower middle income,01-06-2021,43134651
Low income,01-06-2021,892570
High income,31-05-2021,78228434
Middle Class Income,31-05-2021,49156992
Lower middle income,31-05-2021,42955802
Low income,31-05-2021,889705
High income,30-05-2021,78171390
Middle Class Income,30-05-2021,49002545
Lower middle income,30-05-2021,42782818
Low income,30-05-2021,887127
High income,29-05-2021,78109601
Middle Class Income,29-05-2021,48871606
Lower middle income,29-05-2021,42587770
Low income,29-05-2021,884958
High income,28-05-2021,78030105
Middle Class Income,28-05-2021,48685398
Lower middle income,28-05-2021,42375647
Low income,28-05-2021,882361
High income,27-05-2021,77932573
Middle Class Income,27-05-2021,48508795
Lower middle income,27-05-2021,42147368
Low income,27-05-2021,879258
High income,26-05-2021,77823415
Middle Class Income,26-05-2021,48309834
Lower middle income,26-05-2021,41910596
Low income,26-05-2021,877263
High income,25-05-2021,77724811
Middle Class Income,25-05-2021,48103435
Lower middle income,25-05-2021,41649210
Low income,25-05-2021,875203
High income,24-05-2021,77636383
Middle Class Income,24-05-2021,47922818
Lower middle income,24-05-2021,41386679
Low income,24-05-2021,873382
High income,23-05-2021,77560932
Middle Class Income,23-05-2021,47788963
Lower middle income,23-05-2021,41146361
Low income,23-05-2021,871918
High income,22-05-2021,77485309
Middle Class Income,22-05-2021,47649875
Lower middle income,22-05-2021,40880652
Low income,22-05-2021,870721
High income,21-05-2021,77390972
Middle Class Income,21-05-2021,47465474
Lower middle income,21-05-2021,40588580
Low income,21-05-2021,869183
High income,20-05-2021,77274889
Middle Class Income,20-05-2021,47272451
Lower middle income,20-05-2021,40273007
Low income,20-05-2021,867378
High income,19-05-2021,77509797
Middle Class Income,19-05-2021,47073534
Lower middle income,19-05-2021,39956496
Low income,19-05-2021,865605
High income,18-05-2021,77379239
Middle Class Income,18-05-2021,46866365
Lower middle income,18-05-2021,39623665
Low income,18-05-2021,864093
High income,17-05-2021,77266919
Middle Class Income,17-05-2021,46679719
Lower middle income,17-05-2021,39304485
Low income,17-05-2021,862616
High income,16-05-2021,77175126
Middle Class Income,16-05-2021,46542481
Lower middle income,16-05-2021,38991017
Low income,16-05-2021,861576
High income,15-05-2021,77083920
Middle Class Income,15-05-2021,46415527
Lower middle income,15-05-2021,38663550
Low income,15-05-2021,860585
High income,14-05-2021,76971839
Middle Class Income,14-05-2021,46255949
Lower middle income,14-05-2021,38304561
Low income,14-05-2021,859638
High income,13-05-2021,76832101
Middle Class Income,13-05-2021,46062654
Lower middle income,13-05-2021,37929439
Low income,13-05-2021,858210
High income,12-05-2021,76683548
Middle Class Income,12-05-2021,45876012
Lower middle income,12-05-2021,37531583
Low income,12-05-2021,856579
High income,11-05-2021,76530195
Middle Class Income,11-05-2021,45684556
Lower middle income,11-05-2021,37110657
Low income,11-05-2021,854815
High income,10-05-2021,76386082
Middle Class Income,10-05-2021,45509842
Lower middle income,10-05-2021,36705274
Low income,10-05-2021,853242
High income,09-05-2021,76272041
Middle Class Income,09-05-2021,45387576
Lower middle income,09-05-2021,36317514
Low income,09-05-2021,851650
High income,08-05-2021,76166380
Middle Class Income,08-05-2021,45266029
Lower middle income,08-05-2021,35896497
Low income,08-05-2021,850472
High income,07-05-2021,76021723
Middle Class Income,07-05-2021,45090210
Lower middle income,07-05-2021,35430380
Low income,07-05-2021,848783
High income,06-05-2021,75841665
Middle Class Income,06-05-2021,44903687
Lower middle income,06-05-2021,34964059
Low income,06-05-2021,846851
High income,05-05-2021,75652606
Middle Class Income,05-05-2021,44711164
Lower middle income,05-05-2021,34475428
Low income,05-05-2021,844239
High income,04-05-2021,75474846
Middle Class Income,04-05-2021,44519605
Lower middle income,04-05-2021,34004617
Low income,04-05-2021,842354
High income,03-05-2021,75315781
Middle Class Income,03-05-2021,44331660
Lower middle income,03-05-2021,33568640
Low income,03-05-2021,840395
High income,02-05-2021,75179592
Middle Class Income,02-05-2021,44197051
Lower middle income,02-05-2021,33150119
Low income,02-05-2021,839258
High income,01-05-2021,75053345
Middle Class Income,01-05-2021,44064970
Lower middle income,01-05-2021,32722395
Low income,01-05-2021,838043
High income,30-04-2021,74882039
Middle Class Income,30-04-2021,43900244
Lower middle income,30-04-2021,32265207
Low income,30-04-2021,836366
High income,29-04-2021,74676569
Middle Class Income,29-04-2021,43689263
Lower middle income,29-04-2021,31792400
Low income,29-04-2021,834249
High income,28-04-2021,74457037
Middle Class Income,28-04-2021,43484206
Lower middle income,28-04-2021,31326660
Low income,28-04-2021,831904
High income,27-04-2021,74240793
Middle Class Income,27-04-2021,43255141
Lower middle income,27-04-2021,30875609
Low income,27-04-2021,829444
High income,26-04-2021,74044109
Middle Class Income,26-04-2021,43043309
Lower middle income,26-04-2021,30447549
Low income,26-04-2021,826941
High income,25-04-2021,73894852
Middle Class Income,25-04-2021,42890459
Lower middle income,25-04-2021,30062684
Low income,25-04-2021,824864
High income,24-04-2021,73739249
Middle Class Income,24-04-2021,42736431
Lower middle income,24-04-2021,29646704
Low income,24-04-2021,821995
High income,23-04-2021,73538624
Middle Class Income,23-04-2021,42535611
Lower middle income,23-04-2021,29227081
Low income,23-04-2021,818882
High income,22-04-2021,73299088
Middle Class Income,22-04-2021,42296406
Lower middle income,22-04-2021,28801375
Low income,22-04-2021,815647
High income,21-04-2021,73043448
Middle Class Income,21-04-2021,42073549
Lower middle income,21-04-2021,28384096
Low income,21-04-2021,812053
High income,20-04-2021,72788520
Middle Class Income,20-04-2021,41836301
Lower middle income,20-04-2021,27990346
Low income,20-04-2021,808717
High income,19-04-2021,72566030
Middle Class Income,19-04-2021,41590915
Lower middle income,19-04-2021,27622121
Low income,19-04-2021,805346
High income,18-04-2021,72389375
Middle Class Income,18-04-2021,41406203
Lower middle income,18-04-2021,27295714
Low income,18-04-2021,802153
High income,17-04-2021,72208612
Middle Class Income,17-04-2021,41233692
Lower middle income,17-04-2021,26952324
Low income,17-04-2021,798710
High income,16-04-2021,71990341
Middle Class Income,16-04-2021,41000301
Lower middle income,16-04-2021,26613271
Low income,16-04-2021,795473
High income,15-04-2021,71716575
Middle Class Income,15-04-2021,40736352
Lower middle income,15-04-2021,26295378
Low income,15-04-2021,791210
High income,14-04-2021,71435914
Middle Class Income,14-04-2021,40500684
Lower middle income,14-04-2021,25994585
Low income,14-04-2021,787111
High income,13-04-2021,71158694
Middle Class Income,13-04-2021,40253212
Lower middle income,13-04-2021,25713431
Low income,13-04-2021,781626
High income,12-04-2021,70906467
Middle Class Income,12-04-2021,40003900
Lower middle income,12-04-2021,25454304
Low income,12-04-2021,778496
High income,11-04-2021,70710708
Middle Class Income,11-04-2021,39821241
Lower middle income,11-04-2021,25222300
Low income,11-04-2021,775045
High income,10-04-2021,70420779
Middle Class Income,10-04-2021,39646348
Lower middle income,10-04-2021,24980950
Low income,10-04-2021,771613
High income,09-04-2021,70202163
Middle Class Income,09-04-2021,39429567
Lower middle income,09-04-2021,24749372
Low income,09-04-2021,767964
High income,08-04-2021,69943091
Middle Class Income,08-04-2021,39177866
Lower middle income,08-04-2021,24516636
Low income,08-04-2021,764155
High income,07-04-2021,69593902
Middle Class Income,07-04-2021,38917155
Lower middle income,07-04-2021,24294693
Low income,07-04-2021,759944
High income,06-04-2021,69386605
Middle Class Income,06-04-2021,38667790
Lower middle income,06-04-2021,24092096
Low income,06-04-2021,756054
